City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,44.47,91,84,2.37,broken clouds
1,Busselton,AU,-33.65,115.3333,54.45,56,94,9.01,overcast clouds
2,Yangjiang,CN,21.85,111.9667,80.26,89,98,3.06,overcast clouds
3,Albany,US,42.6001,-73.9662,70.09,89,89,6.73,light rain
4,Avera,US,33.194,-82.5271,94.91,58,56,13.51,broken clouds
5,Akyab,MM,20.15,92.9,79.61,87,100,2.93,overcast clouds
6,Kapaa,US,22.0752,-159.319,84.52,78,90,5.01,light rain
7,Vaini,TO,-21.2,-175.2,73.56,83,75,21.85,light intensity shower rain
8,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,23.02,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,57.11,82,66,3.0,broken clouds
10,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.28,64,93,9.01,overcast clouds
11,Beyneu,KZ,45.3167,55.2,87.33,15,3,9.31,clear sky
12,Asau,RO,46.4333,26.4,72.52,86,5,5.59,clear sky
13,Katsuura,JP,35.1333,140.3,84.31,76,4,5.3,clear sky
14,Russell,US,32.3502,-85.1999,92.48,65,40,4.61,scattered clouds
15,Ternate,ID,0.8,127.4,81.64,80,92,7.43,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,46,40,16.11,scattered clouds
17,Simbahan,PH,6.3032,120.5836,84.06,73,84,11.41,broken clouds
18,Namibe,AO,-15.1961,12.1522,68.94,83,66,1.72,broken clouds
19,Iqaluit,CA,63.7506,-68.5145,52.7,76,90,1.99,light rain
20,Ponta Do Sol,PT,32.6667,-17.1,72.23,68,1,7.54,clear sky
21,Uniontown,US,39.9001,-79.7164,75.54,49,67,1.01,light rain
22,Macenta,GN,8.5435,-9.471,68.02,100,97,2.42,light rain
23,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,95,89,8.72,overcast clouds
24,Provideniya,RU,64.3833,-173.3,44.71,76,90,20.13,overcast clouds
25,Cidreira,BR,-30.1811,-50.2056,56.86,93,90,8.03,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,42.37,84,86,1.34,overcast clouds
27,Tuatapere,NZ,-46.1333,167.6833,44.82,91,100,2.59,overcast clouds
28,Acarau,BR,-2.8856,-40.12,78.62,75,85,14.09,overcast clouds
29,Jasper,US,37.2001,-94.3502,83.82,62,20,1.99,haze
30,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,69,75,20.71,broken clouds
31,Katy,US,29.7858,-95.8244,95.13,64,1,1.99,clear sky
32,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,77,0,6.91,clear sky
33,Ponnani,IN,10.767,75.9252,74.52,84,70,5.19,broken clouds
34,Alta Floresta,BR,-9.8756,-56.0861,82.11,32,27,5.35,scattered clouds
35,Avarua,CK,-21.2078,-159.775,77.05,88,75,13.8,moderate rain
36,Kozhva,RU,65.1073,57.0459,49.28,97,92,3.13,overcast clouds
37,North Royalton,US,41.3137,-81.7246,71.74,70,90,8.01,light rain
38,Laurinburg,US,34.7741,-79.4628,83.17,88,40,0.0,scattered clouds
39,Hermanus,ZA,-34.4187,19.2345,56.89,80,95,0.54,overcast clouds
40,Caravelas,BR,-17.7125,-39.2481,68.92,66,96,8.81,overcast clouds
41,Saldanha,ZA,-33.0117,17.9442,55.27,86,59,8.37,broken clouds
42,Boffa,GN,10.1667,-14.0333,75.02,93,92,4.52,light rain
43,Nemuro,JP,43.3236,145.575,66.04,99,100,7.25,overcast clouds
44,Jamestown,US,42.097,-79.2353,69.12,71,1,3.0,clear sky
45,Huai Thalaeng,TH,14.997,102.6475,82.78,71,96,12.26,overcast clouds
46,Coihaique,CL,-45.5752,-72.0662,49.95,71,75,4.61,light rain
47,Ancud,CL,-41.8697,-73.8203,47.73,82,58,3.85,broken clouds
48,Cascais,PT,38.6979,-9.4215,70.5,79,40,4.0,scattered clouds
49,Bluff,NZ,-46.6,168.3333,44.8,82,98,6.35,overcast clouds
50,Castro,BR,-24.7911,-50.0119,47.48,88,69,2.57,broken clouds
51,New Norfolk,AU,-42.7826,147.0587,40.91,85,31,2.73,scattered clouds
52,Meulaboh,ID,4.1363,96.1285,74.62,89,100,5.08,overcast clouds
53,Nago,JP,26.5881,127.9761,84.63,88,96,12.5,overcast clouds
